1,Main Branch,100 Main St Fort Worth TX 76102,1
2,North Branch,200 North St Fort Worth TX 76104,1
3,South Branch,300 South St Fort Worth TX 76106,1
4,West Branch,400 West St Fort Worth TX 76108,1
5,East Branch,500 East St Fort Worth TX 76110,1
6,Dallas Central Library,600 Central Ave Dallas TX 75201,2
7,Dallas North Library,700 North Ave Dallas TX 75203,2
8,Dallas South Library,800 South Ave Dallas TX 75205,2
9,Austin Downtown Library,900 Downtown Ave Austin TX 78701,3
10,Austin East Library,1000 East Ave Austin TX 78703,3
11,Austin West Library,1100 West Ave Austin TX 78705,3
12,Harris County Central Library,1200 Central Ave Harris TX 77002,4
13,Harris County North Library,1300 North Ave Harris TX 77004,4
14,Harris County South Library,1400 South Ave Harris TX 77006,4
15,Bexar County Downtown Library,1500 Downtown Ave San Antonio TX 78201,5
16,Bexar County East Library,1600 East Ave San Antonio TX 78203,5
17,Bexar County West Library,1700 West Ave San Antonio TX 78205,5
18,Lone Star Library,123 Main St Lone Star TX 75001
19,Sunset Library,456 Elm St Sunset TX 75002
20,Maple Leaf Library,789 Oak St Maple Leaf TX 75003
21,Riverfront Library,101 River Rd Riverfront TX 75004
22,Sunrise Library,202 Sunrise Ave Sunrise TX 75005
23,Ocean View Library,303 Ocean Blvd Ocean View TX 75006
24,Moonlight Library,404 Moonlight Dr Moonlight TX 75007
25,Golden Gate Library,505 Golden Gate Pkwy Golden Gate TX 75008